,P_CO2_K18
0.0,11130.66775160008
0.025,9842.481836794079
0.05,8604.86557808784
0.075,7425.621817511236
0.1,6321.885717654024
0.125,5311.482373117952
0.15,4407.884462404944
0.175,3617.8059436082535
0.2,2940.9887252053136
0.225,2371.450775254003
0.25,1899.3608957045092
0.275,1512.8926855559503
0.3,1199.7082019349045
0.325,947.9713550253261
0.35,746.9369125711241
0.375,587.2179886720652
0.4,460.83870344206326
0.425,361.1592970042463
0.45,282.7362506975329
0.475,221.15810158109426
0.5,172.88113464524173
0.525,135.07783971402748
0.55,105.50384062094219
0.575,82.38475095570503
0.6,64.32209226844462
0.625,50.21629988287056
0.65,39.20444370937489
0.675,30.610287882045228
0.7,23.90450744027638
0.725,18.67315727790456
0.75,14.592784100072393
0.775,11.410853515764025
0.8,8.93041768401231
0.825,6.998170512078357
0.85,5.49522691228068
0.875,4.330109717654528
0.9,3.433470844682071
0.925,2.753778282778774
0.95,2.2520023188366918
0.975,1.891400661008266
1.0,1.623440385433233
