,Vap_vel_K18
0.0,2.0
0.025,1.7378875403915968
0.05,1.8152805193801396
0.075,1.8803663220695404
0.1,1.9359826555522588
0.125,1.9836339649489154
0.15,2.02424244815192
0.175,2.0585220120582557
0.2,2.087141517672819
0.225,2.11077405501485
0.25,2.1300920299143122
0.275,2.1457437301471467
0.3,2.1583299738101833
0.325,2.1683882557862577
0.35,2.1763855468762934
0.375,2.1827181265212463
0.4,2.187716097119862
0.425,2.191650458520049
0.45,2.1947411709226374
0.475,2.1971651876492366
0.5,2.199063878099276
0.525,2.2005495662665213
0.55,2.2017111007478656
0.575,2.202618475806434
0.6,2.2033265610876307
0.625,2.2038779768550865
0.65,2.204305053681927
0.675,2.2046305727530697
0.7,2.204866420841125
0.725,2.2050079949283248
0.75,2.205019176789672
0.775,2.2047957030739505
0.8,2.204078642632412
0.825,2.2022533263344317
0.85,2.197891214004699
0.875,2.187748197899308
0.9,2.1647861055625404
0.925,2.115263075550619
0.95,2.0184843550008957
0.975,1.861118397073215
1.0,1.6678588289215748
