,L/G,alpha,CO2_capture
0,1.0,0.3,99.84557656378637
1,1.2,0.3,99.97352861987947
2,1.4,0.3,99.98574460469368
3,1.6,0.3,99.98849010881588
4,1.8,0.3,99.98930832228532
5,2.0,0.3,99.98954349441928
6,2.2,0.3,99.98955331386018
7,2.4000000000000004,0.3,99.98946126537865
8,2.6,0.3,99.98931974703265
9,2.8,0.3,99.98915490623102
10,3.0,0.3,99.98898156942633
11,1.0,0.32,99.47172755844383
12,1.2,0.32,99.93513326821692
13,1.4,0.32,99.9726566994221
14,1.6,0.32,99.9808259986555
15,1.8,0.32,99.9834090211892
16,2.0,0.32,99.9843470339114
17,2.2,0.32,99.98466510504979
18,2.4000000000000004,0.32,99.98470757133394
19,2.6,0.32,99.98461395006666
20,2.8,0.32,99.98445011472602
21,3.0,0.32,99.98425132900401
22,1.0,0.33999999999999997,98.33685642779463
23,1.2,0.33999999999999997,99.82176990370093
24,1.4,0.33999999999999997,99.9401098032526
25,1.6,0.33999999999999997,99.96438589953326
26,1.8,0.33999999999999997,99.97215640801532
27,2.0,0.33999999999999997,99.9752093465941
28,2.2,0.33999999999999997,99.97651076238986
29,2.4000000000000004,0.33999999999999997,99.97704307182573
30,2.6,0.33999999999999997,99.97719612472648
31,2.8,0.33999999999999997,99.97714776660992
32,3.0,0.33999999999999997,99.97698911841314
33,1.0,0.36,96.02742895194139
34,1.2,0.36,99.48034340200664
35,1.4,0.36,99.85294492235954
36,1.6,0.36,99.92522929774341
37,1.8,0.36,99.94809480791447
38,2.0,0.36,99.95734123222404
39,2.2,0.36,99.96160100031567
40,2.4000000000000004,0.36,99.96368457311546
41,2.6,0.36,99.96469715218156
42,2.8,0.36,99.96513594903678
43,3.0,0.36,99.96524978721295
44,1.0,0.38,92.78242698519558
45,1.2,0.38,98.54631177592941
46,1.4,0.38,99.61335430001238
47,1.6,0.38,99.82563242453307
48,1.8,0.38,99.89169294250587
49,2.0,0.38,99.91861989298094
50,2.2,0.38,99.93143709406807
51,2.4000000000000004,0.38,99.938126169187
52,2.6,0.38,99.94179799428886
53,2.8,0.38,99.94384499932639
54,3.0,0.38,99.94495850145901
55,1.0,0.4,89.00808587555137
56,1.2,0.4,96.57491670079601
57,1.4,0.4,98.98536297711921
58,1.6,0.4,99.56862688295153
59,1.8,0.4,99.75292197754962
60,2.0,0.4,99.82843439364224
61,2.2,0.4,99.8649760976842
62,2.4000000000000004,0.4,99.88464246332569
63,2.6,0.4,99.89598613286884
64,2.8,0.4,99.90282437044347
65,3.0,0.4,99.90704966326821
66,1.0,0.42,84.95208174961107
67,1.2,0.42,93.52598915449916
68,1.4,0.42,97.57855886352989
69,1.6,0.42,98.93985203346857
70,1.8,0.42,99.41403421296279
71,2.0,0.42,99.61361611249023
72,2.2,0.42,99.71187927771437
73,2.4000000000000004,0.42,99.7658617588196
74,2.6,0.42,99.79786616771148
75,2.8,0.42,99.81788776994316
76,3.0,0.42,99.83089768514816
77,1.0,0.44,80.7447934893178
78,1.2,0.44,89.72025184058305
79,1.4,0.44,95.11073768479673
80,1.6,0.44,97.60053186146207
81,1.8,0.44,98.64598300411274
82,2.0,0.44,99.1207543970021
83,2.2,0.44,99.36310429608078
84,2.4000000000000004,0.44,99.4996044490151
85,2.6,0.44,99.58242746173515
86,2.8,0.44,99.63555309316844
87,3.0,0.44,99.67108414712922
88,1.0,0.45999999999999996,76.45838113624626
89,1.2,0.45999999999999996,85.46435824103479
90,1.4,0.45999999999999996,91.67015985471454
91,1.6,0.45999999999999996,95.27403940535721
92,1.8,0.45999999999999996,97.13879790414627
93,2.0,0.45999999999999996,98.09872925460395
94,2.2,0.45999999999999996,98.62326652945717
95,2.4000000000000004,0.45999999999999996,98.93116246475918
96,2.6,0.45999999999999996,99.12364221766988
97,2.8,0.45999999999999996,99.2502628477389
98,3.0,0.45999999999999996,99.33699604084656
99,1.0,0.48,72.13590187452984
100,1.2,0.48,80.95180492311707
101,1.4,0.48,87.5415235048604
102,1.6,0.48,91.96489016371342
103,1.8,0.48,94.67544283603003
104,2.0,0.48,96.27647565175373
105,2.2,0.48,97.2361918927836
106,2.4000000000000004,0.48,97.83473730152662
107,2.6,0.48,98.22500618263433
108,2.8,0.48,98.49006552908641
109,3.0,0.48,98.67647403996652
110,1.0,0.5,67.804198909532
111,1.2,0.5,76.29521720811525
112,1.4,0.5,82.97641989281581
113,1.6,0.5,87.88544722823632
114,1.8,0.5,91.26997415873119
115,2.0,0.5,93.51525964907016
116,2.2,0.5,94.99415176925515
117,2.4000000000000004,0.5,95.98337371792651
118,2.6,0.5,96.66243104457348
119,2.8,0.5,97.14195381913893
120,3.0,0.5,97.48976613572991
