,Tl,L/G,alpha,CO2_capture
0,340.0,2.0,0.5,88.59571769427446
1,340.0,1.5,0.5,77.4713280242108
2,340.0,1.0,0.5,59.76944972584647
3,340.0,2.0,0.45,97.38817193393282
4,340.0,1.5,0.45,89.89727202280955
5,340.0,1.0,0.45,70.60562187826292
6,340.0,2.0,0.4,99.72911810835453
7,340.0,1.5,0.4,98.12611254083166
8,340.0,1.0,0.4,81.48033990000783
9,330.0,2.0,0.5,88.88568592580042
10,330.0,1.5,0.5,77.88723196457362
11,330.0,1.0,0.5,60.17626719333245
12,330.0,2.0,0.45,97.44638692383248
13,330.0,1.5,0.45,90.16309913138244
14,330.0,1.0,0.45,70.98967429264296
15,330.0,2.0,0.4,99.72953019821146
16,330.0,1.5,0.4,98.17416996329867
17,330.0,1.0,0.4,81.8210651608319
18,320.0,2.0,0.5,89.14242683016624
19,320.0,1.5,0.5,78.27220729777767
20,320.0,1.0,0.5,60.561605538970866
21,320.0,2.0,0.45,97.4945889677348
22,320.0,1.5,0.45,90.40571972942668
23,320.0,1.0,0.45,71.35430119463433
24,320.0,2.0,0.4,99.72894793688099
25,320.0,1.5,0.4,98.21484013881785
26,320.0,1.0,0.4,82.14351728824789
